"filename", "language", "PHP", "JavaScript", "CSS", "XML", "SQL", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\ebay-php-clone\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\xampp\htdocs\ebay-php-clone\admin\admin_interface.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 14, 64
"c:\xampp\htdocs\ebay-php-clone\admin\admin_logic.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 9, 50
"c:\xampp\htdocs\ebay-php-clone\admin\css\admin.css", "CSS", 0, 0, 70, 0, 0, 0, 0, 17, 87
"c:\xampp\htdocs\ebay-php-clone\admin\css\edit_product.css", "CSS", 0, 0, 75, 0, 0, 0, 0, 13, 88
"c:\xampp\htdocs\ebay-php-clone\admin\edit_product.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 10, 57
"c:\xampp\htdocs\ebay-php-clone\auth\log_out.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\xampp\htdocs\ebay-php-clone\auth\login.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\xampp\htdocs\ebay-php-clone\auth\register.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 8, 36
"c:\xampp\htdocs\ebay-php-clone\components\Footer.php", "PHP", 89, 0, 0, 0, 0, 0, 0, 9, 98
"c:\xampp\htdocs\ebay-php-clone\components\Header.php", "PHP", 80, 0, 0, 0, 0, 0, 0, 8, 88
"c:\xampp\htdocs\ebay-php-clone\connection\database_connection.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\xampp\htdocs\ebay-php-clone\connection\upload.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 10, 48
"c:\xampp\htdocs\ebay-php-clone\css\cart.css", "CSS", 0, 0, 98, 0, 0, 0, 0, 17, 115
"c:\xampp\htdocs\ebay-php-clone\css\components.css", "CSS", 0, 0, 283, 0, 0, 0, 8, 60, 351
"c:\xampp\htdocs\ebay-php-clone\css\electronics.css", "CSS", 0, 0, 274, 0, 0, 0, 0, 56, 330
"c:\xampp\htdocs\ebay-php-clone\css\electronics_shop.css", "CSS", 0, 0, 115, 0, 0, 0, 1, 26, 142
"c:\xampp\htdocs\ebay-php-clone\css\fashion.css", "CSS", 0, 0, 63, 0, 0, 0, 0, 12, 75
"c:\xampp\htdocs\ebay-php-clone\css\fashion_shop.css", "CSS", 0, 0, 115, 0, 0, 0, 1, 28, 144
"c:\xampp\htdocs\ebay-php-clone\css\index.css", "CSS", 0, 0, 186, 0, 0, 0, 8, 42, 236
"c:\xampp\htdocs\ebay-php-clone\css\motors.css", "CSS", 0, 0, 115, 0, 0, 0, 0, 27, 142
"c:\xampp\htdocs\ebay-php-clone\css\product_details.css", "CSS", 0, 0, 211, 0, 0, 0, 0, 39, 250
"c:\xampp\htdocs\ebay-php-clone\css\profile.css", "CSS", 0, 0, 121, 0, 0, 0, 0, 21, 142
"c:\xampp\htdocs\ebay-php-clone\css\sell_product.css", "CSS", 0, 0, 87, 0, 0, 0, 0, 18, 105
"c:\xampp\htdocs\ebay-php-clone\css\sign_in.css", "CSS", 0, 0, 151, 0, 0, 0, 0, 25, 176
"c:\xampp\htdocs\ebay-php-clone\css\sign_up.css", "CSS", 0, 0, 151, 0, 0, 0, 0, 25, 176
"c:\xampp\htdocs\ebay-php-clone\css\sport.css", "CSS", 0, 0, 115, 0, 0, 0, 1, 28, 144
"c:\xampp\htdocs\ebay-php-clone\database_backup\ebay_database.sql", "SQL", 0, 0, 0, 0, 292, 0, 139, 69, 500
"c:\xampp\htdocs\ebay-php-clone\images\ebay-logo.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 9
"c:\xampp\htdocs\ebay-php-clone\images\privacy-icon.svg", "XML", 0, 0, 0, 54, 0, 0, 0, 1, 55
"c:\xampp\htdocs\ebay-php-clone\index.php", "PHP", 147, 0, 0, 0, 0, 0, 0, 16, 163
"c:\xampp\htdocs\ebay-php-clone\js\electronics.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\xampp\htdocs\ebay-php-clone\js\index.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 8, 37
"c:\xampp\htdocs\ebay-php-clone\logic\cart_logic.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 13, 56
"c:\xampp\htdocs\ebay-php-clone\logic\product_details_logic.php", "PHP", 78, 0, 0, 0, 0, 0, 0, 21, 99
"c:\xampp\htdocs\ebay-php-clone\logic\profile_logic.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\xampp\htdocs\ebay-php-clone\pages\cart.php", "PHP", 75, 0, 0, 0, 0, 0, 0, 13, 88
"c:\xampp\htdocs\ebay-php-clone\pages\electronics.php", "PHP", 381, 0, 0, 0, 0, 0, 0, 53, 434
"c:\xampp\htdocs\ebay-php-clone\pages\electronics_shop.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 19, 101
"c:\xampp\htdocs\ebay-php-clone\pages\fashion.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 5, 64
"c:\xampp\htdocs\ebay-php-clone\pages\fashion_shop.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 31, 113
"c:\xampp\htdocs\ebay-php-clone\pages\motors.php", "PHP", 87, 0, 0, 0, 0, 0, 0, 31, 118
"c:\xampp\htdocs\ebay-php-clone\pages\product_details.php", "PHP", 113, 0, 0, 0, 0, 0, 0, 10, 123
"c:\xampp\htdocs\ebay-php-clone\pages\profile.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 6, 79
"c:\xampp\htdocs\ebay-php-clone\pages\sell_product.php", "PHP", 77, 0, 0, 0, 0, 0, 0, 10, 87
"c:\xampp\htdocs\ebay-php-clone\pages\sign_in.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 7, 77
"c:\xampp\htdocs\ebay-php-clone\pages\sign_up.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 7, 88
"c:\xampp\htdocs\ebay-php-clone\pages\sport.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 32, 114
"Total", "-", 1952, 47, 2230, 63, 292, 1, 158, 892, 5635